Temperature (K),Density (kg/m^3),Viscosity (kg/m*s)
629.15,0.5610542548600789,3.101473025928979e-05
630.15,0.5601639045389488,3.104672343582385e-05
631.15,0.5592763755766752,3.107868888533365e-05
632.15,0.5583916545839098,3.111062667349239e-05
633.15,0.557509728255893,3.114253686572982e-05
634.15,0.5566305833717868,3.1174419527233486e-05
635.15,0.555754206794015,3.1206274722949914e-05
636.15,0.5548805854676077,3.123810251758575e-05
637.15,0.5540097064195536,3.1269902975609034e-05
638.15,0.5531415567581581,3.130167616125027e-05
639.15,0.5522761236724064,3.133342213850365e-05
640.15,0.5514133944313342,3.1365140971128205e-05
641.15,0.5505533563834026,3.139683272264896e-05
642.15,0.5496959969558805,3.142849745635807e-05
643.15,0.5488413036542309,3.1460135235315934e-05
644.15,0.5479892640615053,3.149174612235237e-05
645.15,0.547139865837741,3.152333018006773e-05
646.15,0.5462930967193663,3.1554887470833966e-05
647.15,0.5454489445186103,3.158641805679582e-05
648.15,0.544607397122917,3.161792199987188e-05
649.15,0.5437684424943674,3.164939936175566e-05
650.15,0.542932068669105,3.1680850203916765e-05
651.15,0.5420982637567666,3.171227458760187e-05
652.15,0.5412670159399197,3.1743672573835896e-05
653.15,0.5404383134735032,3.177504422342303e-05
654.15,0.5396121446842751,3.180638959694779e-05
655.15,0.5387884979702642,3.18377087547761e-05
656.15,0.5379673618002264,3.186900175705634e-05
657.15,0.5371487247131075,3.190026866372039e-05
658.15,0.5363325753175091,3.193150953448466e-05
659.15,0.5355189022911607,3.1962724428851125e-05
660.15,0.5347076943803963,3.199391340610839e-05
661.15,0.5338989403996348,3.202507652533265e-05
662.15,0.533092629230867,3.205621384538876e-05
663.15,0.532288749823145,3.20873254249312e-05
664.15,0.5314872911920779,3.2118411322405125e-05
665.15,0.5306882424193319,3.214947159604732e-05
666.15,0.5298915926521333,3.218050630388721e-05
667.15,0.5290973311027783,3.221151550374787e-05
668.15,0.5283054470481459,3.224249925324696e-05
669.15,0.527515929829214,3.227345760979772e-05
670.15,0.5267287688505836,3.2304390630609945e-05
671.15,0.5259439535800023,3.233529837269096e-05
672.15,0.5251614735478964,3.2366180892846554e-05
673.15,0.5243813183469043,3.239703824768191e-05
674.15,0.5236034776314152,3.242787049360263e-05
675.15,0.5228279411171126,3.245867768681557e-05
676.15,0.52205469858052,3.24894598833299e-05
677.15,0.5212837398585521,3.252021713895791e-05
678.15,0.5205150548480699,3.255094950931601e-05
679.15,0.5197486335054385,3.258165704982566e-05
680.15,0.5189844658460907,3.261233981571419e-05
681.15,0.5182225419440925,3.264299786201584e-05
682.15,0.5174628519317138,3.267363124357256e-05
683.15,0.5167053859990026,3.2704240015034964e-05
684.15,0.515950134393362,3.273482423086317e-05
685.15,0.5151970874191325,3.276538394532777e-05
686.15,0.5144462354371764,3.2795919212510627e-05
687.15,0.5136975688644672,3.282643008630581e-05
688.15,0.512951078173681,3.285691662042045e-05
689.15,0.5122067538927935,3.288737886837558e-05
690.15,0.5114645866046781,3.291781688350707e-05
